Package                      Version         Latest          Type
---------------------------- --------------- --------------- -----
aiohttp                      3.10.11         3.13.5          wheel
annotated-types              0.6.0           0.7.0           wheel
anyio                        4.12.1          4.13.0          wheel
attrs                        25.4.0          26.1.0          wheel
brotlicffi                   1.2.0.0         1.2.0.1         wheel
build                        1.4.0           1.4.2           wheel
cachetools                   5.5.2           7.0.5           wheel
casdoor                      1.40.0          1.41.0          wheel
celery                       5.6.2           5.6.3           wheel
certifi                      2026.1.4        2026.2.25       wheel
charset-normalizer           3.4.4           3.4.7           wheel
click                        8.2.1           8.3.2           wheel
coverage                     7.13.4          7.13.5          wheel
cryptography                 44.0.3          46.0.7          wheel
Faker                        40.11.1         40.13.0         wheel
fastapi                      0.135.1         0.135.3         wheel
filelock                     3.20.3          3.25.2          wheel
Flask                        3.1.2           3.1.3           wheel
flask-cors                   6.0.1           6.0.2           wheel
fonttools                    4.61.0          4.62.1          wheel
frozendict                   2.4.6           2.4.7           wheel
google-ai-generativelanguage 0.6.15          0.11.0          wheel
google-api-core              2.25.1          2.30.2          wheel
google-api-python-client     2.181.0         2.193.0         wheel
google-auth                  2.40.3          2.49.1          wheel
google-auth-httplib2         0.2.0           0.3.1           wheel
google-generativeai          0.8.5           0.8.6           wheel
googleapis-common-protos     1.70.0          1.74.0          wheel
grpcio                       1.74.0          1.80.0          wheel
grpcio-status                1.71.2          1.80.0          wheel
httplib2                     0.30.0          0.31.2          wheel
httpx-sse                    0.4.0           0.4.3           wheel
identify                     2.5.5           2.6.18          wheel
jsonpointer                  3.0.0           3.1.1           wheel
jsonschema                   4.25.1          4.26.0          wheel
kiwisolver                   1.4.9           1.5.0           wheel
librt                        0.7.8           0.8.1           wheel
MarkupSafe                   3.0.2           3.0.3           wheel
mcp                          1.26.0          1.27.0          wheel
mcp-client-for-ollama        0.14.0          0.26.0          wheel
msgpack                      1.1.1           1.1.2           wheel
mypy                         1.19.1          1.20.0          wheel
nodeenv                      1.9.1           1.10.0          wheel
numpy                        2.4.2           2.4.4           wheel
ollama                       0.5.1           0.6.1           wheel
ollmcp                       0.14.0          0.26.0          wheel
packaging                    25.0            26.0            wheel
pandas                       3.0.1           3.0.2           wheel
pillow                       12.1.1          12.2.0          wheel
platformdirs                 4.5.0           4.9.4           wheel
pluggy                       1.5.0           1.6.0           wheel
prompt_toolkit               3.0.51          3.0.52          wheel
proto-plus                   1.26.1          1.27.2          wheel
protobuf                     5.29.5          7.34.1          wheel
psutil                       7.0.0           7.2.2           wheel
pyasn1                       0.6.1           0.6.3           wheel
pycparser                    2.23            3.0             wheel
pydantic_core                2.41.5          2.45.0          wheel
pydantic-settings            2.12.0          2.13.1          wheel
Pygments                     2.19.2          2.20.0          wheel
PyJWT                        2.8.0           2.12.1          wheel
pyparsing                    3.2.5           3.3.2           wheel
pytest                       9.0.2           9.0.3           wheel
pytest-cov                   7.0.0           7.1.0           wheel
python-dotenv                1.2.1           1.2.2           wheel
python-multipart             0.0.22          0.0.24          wheel
redis                        7.3.0           7.4.0           wheel
requests                     2.32.5          2.33.1          wheel
rich                         14.2.0          14.3.3          wheel
rpds-py                      0.28.0          0.30.0          wheel
ruamel.yaml                  0.18.16         0.19.1          wheel
ruamel.yaml.clib             0.2.14          0.2.15          wheel
ruff                         0.15.0          0.15.9          wheel
setuptools                   80.10.2         82.0.1          wheel
SQLAlchemy                   2.0.48          2.0.49          wheel
sse-starlette                2.2.1           3.3.4           wheel
tornado                      6.5.4           6.5.5           wheel
truststore                   0.10.1          0.10.4          wheel
typer                        0.16.0          0.24.1          wheel
types-cffi                   1.17.0.20250915 2.0.0.20260408  wheel
types-passlib                1.7.7.20250602  1.7.7.20260211  wheel
types-pyasn1                 0.6.0.20250914  0.6.0.20260408  wheel
types-python-jose            3.5.0.20250531  3.5.0.20260408  wheel
types-PyYAML                 6.0.12.20250915 6.0.12.20260408 wheel
types-setuptools             80.9.0.20250822 82.0.0.20260408 wheel
tzdata                       2025.3          2026.1          wheel
ukkonen                      1.0.1           1.1.0           wheel
uvicorn                      0.42.0          0.44.0          wheel
virtualenv                   20.28.0         21.2.0          wheel
wcwidth                      0.2.14          0.6.0           wheel
Werkzeug                     3.1.3           3.1.8           wheel
yarl                         1.15.5          1.23.0          wheel
zstandard                    0.24.0          0.25.0          wheel
